name,type,start_time,duration,"data"
"Async Serial [1]","data",13.130400112,0.000082464,0xAA
"Async Serial [1]","data",13.130486864,0.000082464,0xAA
"Async Serial [1]","data",13.130573612,0.000082464,0x07
"Async Serial [1]","data",13.13066036,0.000082464,0x01
"Async Serial [1]","data",13.130747112,0.000082464,0x01
"Async Serial [1]","data",13.13083386,0.000082464,0x59
"Async Serial [1]","data",13.130920608,0.000082464,0x9B
"Async Serial","data",13.14972436,0.000082464,0xAA
"Async Serial","data",13.14981092,0.000082464,0xAA
"Async Serial","data",13.149897472,0.000082464,0x08
"Async Serial","data",13.149984048,0.000082464,0x01
"Async Serial","data",13.15007062,0.000082464,0x01
"Async Serial","data",13.150157208,0.000082464,0x01
"Async Serial","data",13.1502438,0.000082464,0x94
"Async Serial","data",13.1503304,0.000082464,0x13
"Async Serial","data",13.155122384,0.000082464,0xAA
"Async Serial","data",13.155208924,0.000082464,0xAA
"Async Serial","data",13.155295476,0.000082464,0x12
"Async Serial","data",13.155382036,0.000082464,0x02
"Async Serial","data",13.155468628,0.000082464,0x01
"Async Serial","data",13.15555516,0.000082464,0x00
"Async Serial","data",13.155641752,0.000082464,0x01
"Async Serial","data",13.155728312,0.000082464,0x01
"Async Serial","data",13.155814924,0.000082464,0x08
"Async Serial","data",13.155901508,0.000082464,0xEE
"Async Serial","data",13.155988084,0.000082464,0x02
"Async Serial","data",13.156074696,0.000082464,0x40
"Async Serial","data",13.156161256,0.000082464,0x08
"Async Serial","data",13.156247784,0.000082464,0x6E
"Async Serial","data",13.1563343,0.000082464,0x02
"Async Serial","data",13.156420832,0.000082464,0x1F
"Async Serial","data",13.156507364,0.000082464,0xC5
"Async Serial","data",13.156593904,0.000082464,0x75
"Async Serial [1]","data",13.36804908,0.000082464,0xAA
"Async Serial [1]","data",13.368135832,0.000082464,0xAA
"Async Serial [1]","data",13.36822258,0.000082464,0x09
"Async Serial [1]","data",13.368309332,0.000082464,0x13
"Async Serial [1]","data",13.36839608,0.000082464,0x01
"Async Serial [1]","data",13.368482828,0.000082464,0x05
"Async Serial [1]","data",13.36856958,0.000082464,0x7E
"Async Serial [1]","data",13.368656328,0.000082464,0xDF
"Async Serial [1]","data",13.368743076,0.000082464,0x3E
"Async Serial","data",13.370781224,0.000082464,0xAA
"Async Serial","data",13.370867856,0.000082464,0xAA
"Async Serial","data",13.37095448,0.000082464,0x08
