name,type,start_time,duration,"data","error"
"Async Serial","data",42.139820428,0.000082464,0x01,
"Async Serial","data",42.139906968,0.000082464,0xB9,
"Async Serial","data",42.139993536,0.000082464,0x10,
"Async Serial","data",42.140080076,0.000082464,0xAA,
"Async Serial","data",42.140166624,0.000082464,0xAA,
"Async Serial","data",42.140253188,0.000082464,0x09,
"Async Serial","data",42.140339764,0.000082464,0x14,
"Async Serial","data",42.14042632,0.000082464,0x01,
"Async Serial","data",42.140512932,0.000082464,0x00,
"Async Serial","data",42.140599548,0.000082464,0x04,
"Async Serial","data",42.14068612,0.000082464,0xAE,
"Async Serial","data",42.140772664,0.000082464,0x3B,
"Async Serial","data",42.159549504,0.000082464,0xAA,
"Async Serial","data",42.159636124,0.000082464,0xAA,
"Async Serial","data",42.159722756,0.000082464,0x08,
"Async Serial","data",42.159809368,0.000082464,0x03,
"Async Serial","data",42.159895988,0.000082464,0x01,
"Async Serial","data",42.159982616,0.000082464,0x01,
"Async Serial","data",42.16006924,0.000082464,0xFA,
"Async Serial","data",42.160155836,0.000082464,0x73,
"Async Serial [1]","data",42.25489408,0.000082464,0xAA,
"Async Serial [1]","data",42.254980828,0.000082464,0xAA,
"Async Serial [1]","data",42.25506758,0.000082464,0x09,
"Async Serial [1]","data",42.255154328,0.000082464,0x05,
"Async Serial [1]","data",42.25524108,0.000082464,0x01,
"Async Serial [1]","data",42.255327828,0.000082464,0x00,
"Async Serial [1]","data",42.255414576,0.000082464,0x05,
"Async Serial [1]","data",42.255501328,0.000082464,0xD3,
"Async Serial [1]","data",42.255588076,0.000082464,0x09,
"Async Serial","data",42.260328264,0.000082464,0xAA,
"Async Serial","data",42.26041482,0.000082464,0xAA,
"Async Serial","data",42.260501376,0.000082464,0x08,
"Async Serial","data",42.260587928,0.000082464,0x05,
"Async Serial","data",42.260674448,0.000082464,0x01,
"Async Serial","data",42.260761012,0.000082464,0x01,
"Async Serial","data",42.260847532,0.000082464,0x48,
"Async Serial","data",42.260934064,0.000082464,0xD3,
"Async Serial [1]","data",42.264611304,0.000082464,0xAA,
"Async Serial [1]","data",42.264698056,0.000082464,0xAA,
"Async Serial [1]","data",42.264784804,0.000082464,0x07,
"Async Serial [1]","data",42.264871552,0.000082464,0x01,
"Async Serial [1]","data",42.264958304,0.000082464,0x03,
"Async Serial [1]","data",42.265045052,0.000082464,0x79,
"Async Serial [1]","data",42.2651318,0.000082464,0xD9,
"Async Serial","data",42.280473652,0.000082464,0xAA,
"Async Serial","data",42.280560184,0.000082464,0xAA,
"Async Serial","data",42.280646764,0.000082464,0x08,
"Async Serial","data",42.280733364,0.000082464,0x01,
"Async Serial","data",42.280819944,0.000082464,0x03,
"Async Serial","data",42.280906528,0.000082464,0x01,
"Async Serial","data",42.280993128,0.000082464,0xF2,
"Async Serial","data",42.281079728,0.000082464,0x71,
"Async Serial [1]","data",42.284603836,0.000082464,0xAA,
"Async Serial [1]","data",42.284690588,0.000082464,0xAA,
"Async Serial [1]","data",42.284777336,0.000082464,0x0B,
"Async Serial [1]","data",42.284864084,0.000082464,0x04,
"Async Serial [1]","data",42.284950836,0.000082464,0x01,
"Async Serial [1]","data",42.285037584,0.000082464,0x00,
"Async Serial [1]","data",42.285124336,0.000082464,0xFF,
"Async Serial [1]","data",42.285211084,0.000082464,0x00,
"Async Serial [1]","data",42.285297832,0.000082464,0xFF,
"Async Serial [1]","data",42.285384584,0.000082464,0xCE,
"Async Serial [1]","data",42.285471332,0.000082464,0x7D,
"Async Serial","data",42.285871504,0.000082464,0xAA,
"Async Serial","data",42.285958068,0.000082464,0xAA,
"Async Serial","data",42.28604464,0.000082464,0x12,
"Async Serial","data",42.2861312,0.000082464,0x02,
"Async Serial","data",42.286217776,0.000082464,0x03,
"Async Serial","data",42.286304356,0.000082464,0x00,
"Async Serial","data",42.286390916,0.000082464,0x00,
"Async Serial","data",42.286477476,0.000082464,0x01,
"Async Serial","data",42.286564064,0.000082464,0x00,
"Async Serial","data",42.286650648,0.000082464,0x02,
"Async Serial","data",42.2867372,0.000082464,0x00,
"Async Serial","data",42.286823776,0.000082464,0x00,
"Async Serial","data",42.28691036,0.000082464,0x07,
