name,type,start_time,duration,"data"
"Async Serial","data",15.51991056,0.000082464,0xAA
"Async Serial","data",15.519997292,0.000082464,0xAA
"Async Serial","data",15.520084036,0.000082464,0x08
"Async Serial","data",15.520170764,0.000082464,0x05
"Async Serial","data",15.520257476,0.000082464,0x01
"Async Serial","data",15.520344192,0.000082464,0x01
"Async Serial","data",15.520430904,0.000082464,0x48
"Async Serial","data",15.520517584,0.000082464,0xD3
"Async Serial [1]","data",15.525210004,0.000082464,0xAA
"Async Serial [1]","data",15.525296756,0.000082464,0xAA
"Async Serial [1]","data",15.525383504,0.000082464,0x07
"Async Serial [1]","data",15.525470252,0.000082464,0x01
"Async Serial [1]","data",15.525557004,0.000082464,0x03
"Async Serial [1]","data",15.525643752,0.000082464,0x79
"Async Serial [1]","data",15.525730504,0.000082464,0xD9
"Async Serial [1]","data",15.535203812,0.000082464,0xAA
"Async Serial [1]","data",15.535290564,0.000082464,0xAA
"Async Serial [1]","data",15.535377312,0.000082464,0x0B
"Async Serial [1]","data",15.53546406,0.000082464,0x04
"Async Serial [1]","data",15.535550812,0.000082464,0x01
"Async Serial [1]","data",15.53563756,0.000082464,0x00
"Async Serial [1]","data",15.535724312,0.000082464,0xFF
"Async Serial [1]","data",15.53581106,0.000082464,0x00
"Async Serial [1]","data",15.535897808,0.000082464,0xFF
"Async Serial [1]","data",15.53598456,0.000082464,0xCE
"Async Serial [1]","data",15.536071308,0.000082464,0x7D
"Async Serial","data",15.539885912,0.000082464,0xAA
"Async Serial","data",15.539972632,0.000082464,0xAA
"Async Serial","data",15.54005932,0.000082464,0x08
"Async Serial","data",15.540146028,0.000082464,0x01
"Async Serial","data",15.540232688,0.000082464,0x03
"Async Serial","data",15.540319372,0.000082464,0x01
"Async Serial","data",15.540406044,0.000082464,0xF2
"Async Serial","data",15.540492788,0.000082464,0x71
"Async Serial","data",15.5452753,0.000082464,0xAA
"Async Serial","data",15.545361972,0.000082464,0xAA
"Async Serial","data",15.545448676,0.000082464,0x12
"Async Serial","data",15.545535352,0.000082464,0x02
"Async Serial","data",15.545622068,0.000082464,0x03
"Async Serial","data",15.545708764,0.000082464,0x00
"Async Serial","data",15.545795476,0.000082464,0x00
"Async Serial","data",15.545882176,0.000082464,0x01
"Async Serial","data",15.545968884,0.000082464,0x08
"Async Serial","data",15.546055608,0.000082464,0xE7
